model,edit_family,count,stage,eval_scope,accuracy,macro_f1,precision_contradiction,recall_contradiction,precision_entailment,recall_entailment
cross_attention,contradiction_action,112,midscale,comparison_subset,0.9732142857142857,0.49321266968325794,1.0,0.9732142857142857,0.0,0.0
cross_attention,contradiction_attribute,51,midscale,comparison_subset,0.8431372549019608,0.4574468085106383,1.0,0.8431372549019608,0.0,0.0
cross_attention,contradiction_count,102,midscale,comparison_subset,0.9313725490196079,0.48223350253807107,1.0,0.9313725490196079,0.0,0.0
cross_attention,contradiction_object,77,midscale,comparison_subset,0.9090909090909091,0.47619047619047616,1.0,0.9090909090909091,0.0,0.0
cross_attention,entailment_synonym,200,midscale,comparison_subset,0.97,0.49238578680203043,0.0,0.0,1.0,0.97
linear_probe,contradiction_action,112,midscale,comparison_subset,0.9553571428571429,0.4885844748858447,1.0,0.9553571428571429,0.0,0.0
linear_probe,contradiction_attribute,51,midscale,comparison_subset,0.6862745098039216,0.4069767441860465,1.0,0.6862745098039216,0.0,0.0
linear_probe,contradiction_count,102,midscale,comparison_subset,0.9117647058823529,0.47692307692307695,1.0,0.9117647058823529,0.0,0.0
linear_probe,contradiction_object,77,midscale,comparison_subset,0.8441558441558441,0.45774647887323944,1.0,0.8441558441558441,0.0,0.0
linear_probe,entailment_synonym,200,midscale,comparison_subset,0.86,0.46236559139784944,0.0,0.0,1.0,0.86
qwen,contradiction_action,112,midscale,comparison_subset,0.7678571428571429,0.43434343434343436,1.0,0.7678571428571429,0.0,0.0
qwen,contradiction_attribute,51,midscale,comparison_subset,0.6078431372549019,0.3780487804878049,1.0,0.6078431372549019,0.0,0.0
qwen,contradiction_count,102,midscale,comparison_subset,0.18627450980392157,0.15702479338842976,1.0,0.18627450980392157,0.0,0.0
qwen,contradiction_object,77,midscale,comparison_subset,0.7792207792207793,0.43795620437956206,1.0,0.7792207792207793,0.0,0.0
qwen,entailment_synonym,200,midscale,comparison_subset,0.96,0.4897959183673469,0.0,0.0,1.0,0.96
raw_clip,contradiction_action,112,midscale,comparison_subset,0.6607142857142857,0.3978494623655914,1.0,0.6607142857142857,0.0,0.0
raw_clip,contradiction_attribute,51,midscale,comparison_subset,0.49019607843137253,0.32894736842105265,1.0,0.49019607843137253,0.0,0.0
raw_clip,contradiction_count,102,midscale,comparison_subset,0.5294117647058824,0.34615384615384615,1.0,0.5294117647058824,0.0,0.0
raw_clip,contradiction_object,77,midscale,comparison_subset,0.7142857142857143,0.4166666666666667,1.0,0.7142857142857143,0.0,0.0
raw_clip,entailment_synonym,200,midscale,comparison_subset,0.665,0.3993993993993994,0.0,0.0,1.0,0.665
