model,edit_family,count,stage,eval_scope,accuracy,macro_f1,precision_contradiction,recall_contradiction,precision_entailment,recall_entailment
cross_attention,contradiction_action,46,prototype,comparison_subset,1.0,0.5,1.0,1.0,0.0,0.0
cross_attention,contradiction_attribute,41,prototype,comparison_subset,0.6829268292682927,0.4057971014492754,1.0,0.6829268292682927,0.0,0.0
cross_attention,contradiction_count,51,prototype,comparison_subset,0.9803921568627451,0.49504950495049505,1.0,0.9803921568627451,0.0,0.0
cross_attention,contradiction_object,42,prototype,comparison_subset,0.8095238095238095,0.4473684210526316,1.0,0.8095238095238095,0.0,0.0
cross_attention,entailment_synonym,180,prototype,comparison_subset,0.9277777777777778,0.4812680115273775,0.0,0.0,1.0,0.9277777777777778
linear_probe,contradiction_action,46,prototype,comparison_subset,0.9130434782608695,0.4772727272727273,1.0,0.9130434782608695,0.0,0.0
linear_probe,contradiction_attribute,41,prototype,comparison_subset,0.6097560975609756,0.3787878787878788,1.0,0.6097560975609756,0.0,0.0
linear_probe,contradiction_count,51,prototype,comparison_subset,0.7843137254901961,0.43956043956043955,1.0,0.7843137254901961,0.0,0.0
linear_probe,contradiction_object,42,prototype,comparison_subset,0.9285714285714286,0.48148148148148145,1.0,0.9285714285714286,0.0,0.0
linear_probe,entailment_synonym,180,prototype,comparison_subset,0.7222222222222222,0.41935483870967744,0.0,0.0,1.0,0.7222222222222222
qwen,contradiction_action,46,prototype,comparison_subset,0.7608695652173914,0.43209876543209874,1.0,0.7608695652173914,0.0,0.0
qwen,contradiction_attribute,41,prototype,comparison_subset,0.43902439024390244,0.3050847457627119,1.0,0.43902439024390244,0.0,0.0
qwen,contradiction_count,51,prototype,comparison_subset,0.21568627450980393,0.1774193548387097,1.0,0.21568627450980393,0.0,0.0
qwen,contradiction_object,42,prototype,comparison_subset,0.8095238095238095,0.4473684210526316,1.0,0.8095238095238095,0.0,0.0
qwen,entailment_synonym,180,prototype,comparison_subset,0.9611111111111111,0.49008498583569404,0.0,0.0,1.0,0.9611111111111111
raw_clip,contradiction_action,46,prototype,comparison_subset,0.5,0.3333333333333333,1.0,0.5,0.0,0.0
raw_clip,contradiction_attribute,41,prototype,comparison_subset,0.43902439024390244,0.3050847457627119,1.0,0.43902439024390244,0.0,0.0
raw_clip,contradiction_count,51,prototype,comparison_subset,0.47058823529411764,0.32,1.0,0.47058823529411764,0.0,0.0
raw_clip,contradiction_object,42,prototype,comparison_subset,0.7380952380952381,0.4246575342465753,1.0,0.7380952380952381,0.0,0.0
raw_clip,entailment_synonym,180,prototype,comparison_subset,0.6833333333333333,0.40594059405940597,0.0,0.0,1.0,0.6833333333333333
